epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
52,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3136, grad_fn=<NllLossBackward0>)",0.8680746504417013,0.922171602126044,0.8669890549281936,tensor(0.3145),0.8685827117156648,0.983186328555678,0.8689403166869671,0.9225397646450278,0.8671412400211878
53,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3088, grad_fn=<NllLossBackward0>)",0.8694787339846721,0.923050391473804,0.8684196375769763,tensor(0.3092),0.8709960508995174,0.9845687517222376,0.8704019488428746,0.9239720713731576,0.8733908198960509
54,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3044, grad_fn=<NllLossBackward0>)",0.8705903001228573,0.9237504308859014,0.8692973629991803,tensor(0.3043),0.8729706011408512,0.9846069268829029,0.8725943970767357,0.9252227818674932,0.8744870440129815
55,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3003, grad_fn=<NllLossBackward0>)",0.8726964254373135,0.925055966936456,0.871898658476161,tensor(0.2998),0.8751645458534445,0.9843835616438356,0.8752740560292327,0.9266279819471308,0.8747231207298481
56,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2966, grad_fn=<NllLossBackward0>)",0.8745392850874627,0.926200595350758,0.8739633463203234,tensor(0.2956),0.8764809126810005,0.9844091903719911,0.87673568818514,0.9274578018296612,0.8754539368078018
57,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2932, grad_fn=<NllLossBackward0>)",0.8761188790733049,0.9271798751655004,0.8757516673909851,tensor(0.2918),0.8769197016235191,0.9844177145981412,0.8772228989037759,0.9277341234058998,0.8756975421671198
58,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2900, grad_fn=<NllLossBackward0>)",0.8776692213186684,0.9281467990790696,0.8771333775789094,tensor(0.2883),0.8786748573935936,0.9844517184942716,0.8791717417783191,0.9288379873890104,0.8766719636043914
59,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2870, grad_fn=<NllLossBackward0>)",0.8787222839758966,0.928802033246325,0.8781087242432523,tensor(0.2850),0.878894251864853,0.9847203274215552,0.8791717417783191,0.9289575289575288,0.8777757163637733
60,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2842, grad_fn=<NllLossBackward0>)",0.8800093605569531,0.9296011532916868,0.8793441880873353,tensor(0.2820),0.8802106186924089,0.9852740659940006,0.8801461632155907,0.9297478126608336,0.8804704326011727
61,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2816, grad_fn=<NllLossBackward0>)",0.8813841923594454,0.930466244834268,0.8799777985644035,tensor(0.2793),0.8813075910487056,0.9850299401197604,0.8816077953714981,0.9304537858336548,0.8800974959197447
62,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2791, grad_fn=<NllLossBackward0>)",0.8820569823904523,0.9308784200781732,0.8808720209395233,tensor(0.2768),0.8821851689337429,0.9850462207721588,0.8825822168087698,0.9310034690993192,0.8805847066383805
63,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2767, grad_fn=<NllLossBackward0>)",0.883139296788159,0.9315467521118556,0.8819937376272853,tensor(0.2744),0.8832821412900395,0.9855939113889643,0.8833130328867235,0.9316546762589928,0.8831576201961211
64,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2744, grad_fn=<NllLossBackward0>)",0.8845141285906511,0.9323903140733636,0.883668311541626,tensor(0.2723),0.885695480473892,0.9856368563685636,0.8859926918392205,0.9331622835150738,0.8844974496723697
65,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2722, grad_fn=<NllLossBackward0>)",0.8856256947288363,0.933080030122544,0.88454603696383,tensor(0.2703),0.8865730583589293,0.9853896103896104,0.88721071863581,0.933726445327522,0.8840027103112824
66,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2701, grad_fn=<NllLossBackward0>)",0.8864739952027145,0.9336115910296104,0.8848871547532154,tensor(0.2685),0.887011847301448,0.9851351351351352,0.8879415347137637,0.93401665598975,0.8832643655908774
